Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State,City,Postal Code,Order Date,Ship Date,Profit,Quantity,Sales,Order ID,Line Key,Base Margin Imputed,Order ID Shared,Returned,Manager,Ship Days,Order Month,Order Month Name,Order Week,Order Weekday,Order Quarter,Gross Sales,Discount Amount,Profit Margin,Is Loss,Margin Gap,Discount Band,Order Size Band,Ship Speed,Priority Rank,State Code
20847,High,0.01,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,United States,West,Washington,Anacortes,98221,2015-01-07,2015-01-08,4.56,4,13.01,88522,1,False,False,False,William,1,2015-01-01,Jan,2,Wednesday,Q1,11.36,0.11359999999999999,0.35049961568024596,False,-0.18950038431975408,1-3%,<100,Same/next day,2,WA
20228,Not Specified,0.02,500.98,26.0,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,United States,West,California,San Gabriel,91776,2015-06-13,2015-06-15,4390.3665,12,6362.85,90193,2,False,False,False,William,2,2015-06-01,Jun,24,Saturday,Q2,6011.76,120.2352,0.69,False,0.08999999999999997,1-3%,2k-10k,2-3 days,5,CA
21776,Critical,0.06,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,United States,East,New Jersey,Roselle,07203,2015-02-15,2015-02-17,-53.8096,22,211.15,90192,3,False,False,False,Erin,2,2015-02-01,Feb,7,Sunday,Q1,208.56,12.5136,-0.25484063461993844,True,-0.7048406346199385,4-6%,100-500,2-3 days,1,NJ
24844,Medium,0.09,78.69,19.99,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,0.43,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-14,803.4705,16,1164.45,86838,4,False,False,False,Chris,2,2015-05-01,May,20,Tuesday,Q2,1259.04,113.3136,0.69,False,0.25999999999999995,7-9%,500-2k,2-3 days,3,MN
24846,Medium,0.08,3.28,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-13,-24.03,7,22.23,86838,5,False,False,False,Chris,1,2015-05-01,May,20,Tuesday,Q2,22.959999999999997,1.8367999999999998,-1.0809716599190284,True,-1.6409716599190285,7-9%,<100,Same/next day,3,MN
24847,Medium,0.05,3.28,4.2,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-13,-37.03,4,13.99,86838,6,False,False,False,Chris,1,2015-05-01,May,20,Tuesday,Q2,13.12,0.656,-2.646890636168692,True,-3.206890636168692,4-6%,<100,Same/next day,3,MN
24848,Medium,0.05,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,United States,Central,Minnesota,Prior Lake,55372,2015-05-12,2015-05-13,-0.71,4,14.26,86838,7,False,False,False,Chris,1,2015-05-01,May,20,Tuesday,Q2,14.32,0.7160000000000001,-0.04978962131837307,True,-0.40978962131837304,4-6%,<100,Same/next day,3,MN
18181,Critical,0.0,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,United States,East,New York,Smithtown,11787,2015-04-08,2015-04-09,-59.82,7,33.47,86837,8,False,False,False,Erin,1,2015-04-01,Apr,15,Wednesday,Q2,30.939999999999998,0.0,-1.7872721840454138,True,-2.1672721840454137,0%,<100,Same/next day,1,NY
20925,Medium,0.01,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",0.4,United States,East,New York,Smithtown,11787,2015-05-28,2015-05-28,261.87569999999994,10,379.53,86839,9,False,False,False,Erin,0,2015-05-01,May,22,Thursday,Q2,359.4,3.594,0.6899999999999998,False,0.2899999999999998,1-3%,100-500,Same/next day,3,NY
26267,High,0.04,2.98,1.58,16,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39,United States,East,New York,Syracuse,13210,2015-02-12,2015-02-15,2.63,6,18.8,86836,10,False,False,False,Erin,3,2015-02-01,Feb,7,Thursday,Q1,17.88,0.7152,0.1398936170212766,False,-0.25010638297872345,4-6%,<100,2-3 days,2,NY
26268,High,0.05,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55,United States,East,New York,Syracuse,13210,2015-02-12,2015-02-14,652.7330999999999,10,945.99,86836,11,False,False,False,Erin,2,2015-02-01,Feb,7,Thursday,Q1,1159.8999999999999,57.995,0.69,False,0.1399999999999999,4-6%,500-2k,2-3 days,2,NY
23890,High,0.05,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,United States,West,Montana,Helena,59601,2015-05-15,2015-05-16,314.4813,17,455.77,90031,12,False,False,False,William,1,2015-05-01,May,20,Friday,Q2,450.16,22.508000000000003,0.69,False,0.19999999999999996,4-6%,100-500,Same/next day,2,MT
24063,Not Specified,0.07,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,United States,West,Montana,Missoula,59801,2015-05-21,2015-05-23,-114.63990000000001,18,231.79,90032,13,False,False,False,William,2,2015-05-01,May,21,Thursday,Q2,233.82,16.3674,-0.4945851848656112,True,-0.8845851848656112,7-9%,100-500,2-3 days,5,MT
5890,High,0.05,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,United States,East,New York,New York City,10012,2015-05-15,2015-05-16,384.38,70,1876.69,41793,14,False,False,False,Erin,1,2015-05-01,May,20,Friday,Q2,1853.6000000000001,92.68,0.20481805732433167,False,-0.2851819426756683,4-6%,500-2k,Same/next day,2,NY
6062,Not Specified,0.08,5.0,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,United States,East,New York,New York City,10012,2015-05-21,2015-05-22,-17.49,58,293.06,42949,15,False,False,False,Erin,1,2015-05-01,May,21,Thursday,Q2,290.0,23.2,-0.05968061147887804,True,-0.42968061147887804,7-9%,100-500,Same/next day,5,NY
6063,Not Specified,0.07,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,United States,East,New York,New York City,10012,2015-05-21,2015-05-23,-114.63990000000001,71,914.29,42949,16,False,False,False,Erin,2,2015-05-01,May,21,Thursday,Q2,922.29,64.5603,-0.12538680287436155,True,-0.5153868028743616,7-9%,500-2k,2-3 days,5,NY
20631,High,0.06,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,United States,West,California,Laguna Niguel,92677,2015-01-28,2015-01-29,-28.2968,1,67.49,87651,17,False,False,False,William,1,2015-01-01,Jan,5,Wednesday,Q1,55.48,3.3287999999999998,-0.41927396651355764,True,-0.7892739665135576,4-6%,<100,Same/next day,2,CA
20632,High,0.02,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,United States,West,California,Laguna Niguel,92677,2015-01-28,2015-01-30,-5.3072,1,2.25,87651,18,False,False,False,William,2,2015-01-01,Jan,5,Wednesday,Q1,1.68,0.0336,-2.3587555555555557,True,-2.9487555555555556,1-3%,<100,2-3 days,2,CA
23967,Not Specified,0.04,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,United States,West,California,Lakewood,90712,2015-05-02,2015-05-04,8.894000000000005,12,54.78,87652,19,False,False,False,William,2,2015-05-01,May,18,Saturday,Q2,49.67999999999999,1.9871999999999999,0.1623585250091275,False,-0.3276414749908725,4-6%,<100,2-3 days,5,CA
23509,High,0.08,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59,United States,West,Oregon,Grants Pass,97526,2015-02-22,2015-02-23,144.69,13,424.68,89199,20,False,False,False,William,1,2015-02-01,Feb,8,Sunday,Q1,454.87,36.3896,0.34070358858434585,False,-0.24929641141565412,7-9%,100-500,Same/next day,2,OR
23612,High,0.01,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,United States,West,Oregon,Grants Pass,97526,2015-03-27,2015-03-28,-35.8788,2,40.17,89200,21,False,False,False,William,1,2015-03-01,Mar,13,Friday,Q1,35.96,0.35960000000000003,-0.8931740104555638,True,-1.2931740104555638,1-3%,<100,Same/next day,2,OR
23278,Medium,0.09,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,0.59,United States,West,Oregon,Grants Pass,97526,2015-01-20,2015-01-22,209.997,8,783.55,89202,22,False,False,False,William,2,2015-01-01,Jan,4,Tuesday,Q1,1007.92,90.71279999999999,0.2680071469593517,False,-0.3219928530406483,7-9%,500-2k,2-3 days,3,OR
19355,Low,0.06,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,0.56,United States,West,Oregon,Grants Pass,97526,2015-03-12,2015-03-19,3568.096,22,3838.14,89203,23,False,False,False,William,7,2015-03-01,Mar,11,Thursday,Q1,4531.780000000001,271.90680000000003,0.9296419619920065,False,0.3696419619920065,4-6%,2k-10k,4-7 days,4,OR
23654,Not Specified,0.03,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,0.35,United States,West,Oregon,Gresham,97030,2015-06-15,2015-06-17,-84.4376,13,58.68,89201,24,False,False,False,William,2,2015-06-01,Jun,25,Monday,Q2,55.120000000000005,1.6536000000000002,-1.4389502385821404,True,-1.7889502385821405,1-3%,<100,2-3 days,5,OR
23655,Not Specified,0.04,2.94,0.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,0.58,United States,West,Oregon,Gresham,97030,2015-06-15,2015-06-16,24.312,18,53.1,89201,25,False,False,False,William,1,2015-06-01,Jun,25,Monday,Q2,52.92,2.1168,0.4578531073446328,False,-0.12214689265536716,4-6%,<100,Same/next day,5,OR
25933,High,0.0,99.99,19.99,43,Theodore Moran,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,0.52,United States,West,Washington,Redmond,98052,2015-05-10,2015-05-11,25.913820000000015,6,647.07,91454,26,False,False,False,William,1,2015-05-01,May,19,Sunday,Q2,599.9399999999999,0.0,0.04004793917195978,False,-0.47995206082804026,0%,500-2k,Same/next day,2,WA
18551,Not Specified,0.0,115.99,2.5,52,Lorraine Kelly,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,6160,0.57,United States,West,Washington,Puyallup,98373,2015-03-10,2015-03-10,162.666,6,627.04,88426,27,False,True,False,William,0,2015-03-01,Mar,11,Tuesday,Q1,695.9399999999999,0.0,0.25941885685123756,False,-0.3105811431487624,0%,500-2k,Same/next day,5,WA
